Player,Squad,Age,Nationality,Season
Valentino Livramento,Newcastle Utd,22-164,eng ENG,2023-2024
Sean Longstaff,Newcastle Utd,27-177,eng ENG,2023-2024
Saša Lukić,Fulham,28-255,rs SRB,2023-2024
Joe Lumley,Southampton,30-069,eng ENG,2023-2024
Massimo Luongo,Ipswich Town,32-212,au AUS,2023-2024
Ian Maatsen,Aston Villa,23-046,nl NED,2023-2024
Alexis Mac Allister,Liverpool,26-122,ar ARG,2023-2024
James Maddison,Tottenham,28-153,eng ENG,2023-2024
Noni Madueke,Chelsea,23-046,eng ENG,2023-2024
Gabriel Magalhães,Arsenal,27-127,br BRA,2023-2024
Edmond-Paris Maghoma,Brentford,23-352,eng ENG,2023-2024
Harry Maguire,Manchester Utd,32-051,eng ENG,2023-2024
Kobbie Mainoo,Manchester Utd,20-006,eng ENG,2023-2024
Tyrell Malacia,Manchester Utd,25-251,nl NED,2023-2024
Donyell Malen,Aston Villa,26-106,nl NED,2023-2024
Orel Mangala,Everton,27-038,be BEL,2023-2024
Ryan Manning,Southampton,28-315,ie IRL,2023-2024
Solly March,Brighton,30-279,eng ENG,2023-2024
Omar Marmoush,Manchester City,26-077,eg EGY,2023-2024
Gabriel Martinelli,Arsenal,23-311,br BRA,2023-2024
Emiliano Martínez,Aston Villa,32-235,ar ARG,2023-2024
Lisandro Martínez,Manchester Utd,27-097,ar ARG,2023-2024
Pape Matar Sarr,Tottenham,22-223,sn SEN,2023-2024
Jean-Philippe Mateta,Crystal Palace,27-301,fr FRA,2023-2024
Stephy Mavididi,Leicester City,26-329,eng ENG,2023-2024
Konstantinos Mavropanos,West Ham,27-135,gr GRE,2023-2024
Noussair Mazraoui,Manchester Utd,27-162,ma MAR,2023-2024
Bryan Mbeumo,Brentford,25-261,cm CMR,2023-2024
James Mcatee,Manchester City,22-189,eng ENG,2023-2024
Kasey McAteer,Leicester City,23-154,ie IRL,2023-2024
Alex McCarthy,Southampton,35-143,eng ENG,2023-2024
John McGinn,Aston Villa,30-189,sct SCO,2023-2024
Dwight McNeil,Everton,25-154,eng ENG,2023-2024
Scott McTominay,Manchester Utd,28-138,sct SCO,2023-2024
Ben Mee,Brentford,35-216,eng ENG,2023-2024
Jayden Meghoma,Brentford,18-301,eng ENG,2023-2024
Mikel Merino,Arsenal,28-307,es ESP,2023-2024
Shumaira Mheuka,Chelsea,17-187,eng ENG,2023-2024
Nikola Milenković,Nott'ham Forest,27-195,rs SRB,2023-2024
Lewis Miley,Newcastle Utd,18-359,eng ENG,2023-2024
James Milner,Brighton,39-111,eng ENG,2023-2024
Tyrone Mings,Aston Villa,32-043,eng ENG,2023-2024
Yankuba Minteh,Brighton,20-277,gm GAM,2023-2024
Tyrick Mitchell,Crystal Palace,25-236,eng ENG,2023-2024
Kaoru Mitoma,Brighton,27-340,jp JPN,2023-2024
Jakub Moder,Brighton,26-018,pl POL,2023-2024
Jeremy Monga,Leicester City,,,2023-2024
Mikey Moore,Tottenham,17-257,eng ENG,2023-2024
Morato,Nott'ham Forest,23-299,br BRA,2023-2024
Álex Moreno,Nott'ham Forest,31-321,es ESP,2023-2024
Sam Morsy,Ipswich Town,33-227,eg EGY,2023-2024
Yerson Mosquera,Wolves,23-358,co COL,2023-2024
Mason Mount,Manchester Utd,26-105,eng ENG,2023-2024
Divin Mubama,Manchester City,20-182,eng ENG,2023-2024
Mykhailo Mudryk,Chelsea,24-110,ua UKR,2023-2024
Marshall Munetsi,Wolves,28-307,zw ZIM,2023-2024
Rodrigo Muniz,Fulham,23-356,br BRA,2023-2024
Daniel Muñoz,Crystal Palace,28-334,co COL,2023-2024
Arijanet Muric,Ipswich Town,26-169,xk KVX,2023-2024
Murillo,Nott'ham Forest,22-295,br BRA,2023-2024
Jacob Murphy,Newcastle Utd,30-060,eng ENG,2023-2024
Vitaliy Mykolenko,Everton,25-331,ua UKR,2023-2024
Iliman Ndiaye,Everton,25-050,sn SEN,2023-2024
Wilfred Ndidi,Leicester City,28-130,ng NGA,2023-2024
Kosta Nedeljković,Aston Villa,19-130,rs SRB,2023-2024
Reiss Nelson,Arsenal,25-136,eng ENG,2023-2024
Reiss Nelson,Fulham,25-136,eng ENG,2023-2024
Neto,Bournemouth,35-280,br BRA,2023-2024
Pedro Neto,Chelsea,25-047,pt POR,2023-2024
Eddie Nketiah,Crystal Palace,25-330,eng ENG,2023-2024
Christopher Nkunku,Chelsea,27-162,fr FRA,2023-2024
Gustavo Nunes,Brentford,19-156,br BRA,2023-2024
Matheus Nunes,Manchester City,26-241,pt POR,2023-2024
Darwin Núñez,Liverpool,25-305,uy URU,2023-2024
Ethan Nwaneri,Arsenal,18-035,eng ENG,2023-2024
Christian Nørgaard,Brentford,31-046,dk DEN,2023-2024
Jake O'Brien,Everton,23-345,ie IRL,2023-2024
Matt O'Riley,Brighton,24-155,dk DEN,2023-2024
Dara O'Shea,Ipswich Town,26-052,ie IRL,2023-2024
Chidozie Obi-Martin,Manchester Utd,17-147,dk DEN,2023-2024
Wilson Odobert,Tottenham,20-148,fr FRA,2023-2024
Chiedozie Ogbene,Ipswich Town,27-359,ie IRL,2023-2024
Caleb Okoli,Leicester City,23-286,it ITA,2023-2024
Robin Olsen,Aston Villa,35-107,se SWE,2023-2024
Amadou Onana,Aston Villa,23-252,be BEL,2023-2024
André Onana,Manchester Utd,29-023,cm CMR,2023-2024
Paul Onuachu,Southampton,30-332,ng NGA,2023-2024
Frank Onyeka,Brentford,27-114,ng NGA,2023-2024
Lewis Orford,West Ham,19-066,eng ENG,2023-2024
Stefan Ortega,Manchester City,32-170,de GER,2023-2024
William Osula,Newcastle Utd,21-264,dk DEN,2023-2024
Dango Ouattara,Bournemouth,23-073,bf BFA,2023-2024
Nico O’Reilly,Manchester City,20-035,eng ENG,2023-2024
Alex Palmer,Ipswich Town,28-258,eng ENG,2023-2024
Cole Palmer,Chelsea,22-354,eng ENG,2023-2024
Emerson Palmieri,West Ham,30-265,it ITA,2023-2024
Lucas Paquetá,West Ham,27-241,br BRA,2023-2024
Thomas Partey,Arsenal,31-316,gh GHA,2023-2024
Nathan Patterson,Everton,23-191,sct SCO,2023-2024
Andreas Pereira,Fulham,29-114,br BRA,2023-2024
Ricardo Pereira,Leicester City,31-201,pt POR,2023-2024
Kalvin Phillips,Ipswich Town,29-144,eng ENG,2023-2024
Jaden Philogene Bidace,Aston Villa,23-076,eng ENG,2023-2024
Jaden Philogene Bidace,Ipswich Town,23-076,eng ENG,2023-2024
Jordan Pickford,Everton,31-049,eng ENG,2023-2024
Ethan Pinnock,Brentford,31-331,jm JAM,2023-2024
Daniel Podence,Wolves,29-186,pt POR,2023-2024
Alfie Pond,Wolves,21-055,eng ENG,2023-2024
Nick Pope,Newcastle Utd,33-006,eng ENG,2023-2024
Pedro Porro,Tottenham,25-224,es ESP,2023-2024
Jarell Quansah,Liverpool,22-086,eng ENG,2023-2024
Hákon Rafn Valdimarsson,Brentford,23-194,is ISL,2023-2024
Aaron Ramsdale,Southampton,26-346,eng ENG,2023-2024
Jacob Ramsey,Aston Villa,23-332,eng ENG,2023-2024
Marcus Rashford,Manchester Utd,27-176,eng ENG,2023-2024
Marcus Rashford,Aston Villa,27-176,eng ENG,2023-2024
David Raya,Arsenal,29-222,es ESP,2023-2024
Harrison Reed,Fulham,30-088,eng ENG,2023-2024
Remy Rees-Dottin,Bournemouth,19-050,eng ENG,2023-2024
Sergio Reguilón,Tottenham,28-130,es ESP,2023-2024
Vitor Reis,Manchester City,19-103,br BRA,2023-2024
Chadi Riad,Crystal Palace,21-312,ma MAR,2023-2024
Declan Rice,Arsenal,26-101,eng ENG,2023-2024
Chris Richards,Crystal Palace,25-028,us USA,2023-2024
